Sales Order,Opportunity_ID,Opportunity_Name,Stage,Amount,Close_Date,Probability,Sales_Person,Sales_Person_Email,Company_Name,Company_Industry,Contact_Name,Contact_Title,Contact_Email,Contact_Phone,Created_Date,Last_Modified_Date,Next_Step,Description,Type,Lead_Source,State,Zip_Code,Payment_Terms
5708,OPP-2024-0091,Valley Medical Group EHR System,Closed Lost,255000,9/15/2024,0,Alex Rodriguez,arodriguez@company.com,Valley Medical Group,Healthcare,Michael Chen,Medical Director,mchen@valleymedical.org,555-123-7890,8/1/2024,9/15/2024,Loss Analysis,Electronic health records system - postponed due to merger,New Business,Healthcare Conference,WA,70532,Net 45
5709,OPP-2024-0092,Mountain State Government Portal,Decision Makers,315000,9/20/2024,70,Sarah Johnson,sjohnson@company.com,Mountain State Government,Government,Elizabeth Wilson,IT Director,ewilson@mountainstate.gov,555-234-8901,6/15/2024,6/20/2024,Executive Briefing,Citizen portal with online services and payments,New Business,RFP,MT,68222,Net 60
5710,OPP-2024-0093,Western Financial Services CRM,Proposal/Price Quote,275000,10/5/2024,65,Michael Chang,mchang@company.com,Western Financial Services,Financial Services,Thomas Davis,Client Relations Director,tdavis@westernfinancial.com,555-345-9012,6/10/2024,6/22/2024,Cost Analysis,Customer relationship management system for financial advisors,New Business,Industry Event,UT,14847,2% 10 Net 30
5711,OPP-2024-0094,Lakeside Mall Retail Analytics,Closed Won,135000,9/15/2024,100,Emma Wilson,ewilson@company.com,Lakeside Mall Management,Retail,Jennifer Martinez,Marketing Director,jmartinez@lakesidemall.com,555-456-0123,8/10/2024,9/15/2024,Deployment,Customer analytics platform for shopping mall retailers,New Business,Trade Show,OH,34299,Net 30
5712,OPP-2024-0095,Precision Manufacturing Quality System,Negotiation/Review,325000,9/25/2024,85,David Martinez,dmartinez@company.com,Precision Manufacturing Inc.,Manufacturing,Robert Park,Quality Manager,rpark@precisionmfg.com,555-567-1234,6/25/2024,6/28/2024,Contract Finalization,Quality management system for precision manufacturing,New Business,Partner Referral,NV,73270,Net 45
5713,OPP-2024-0096,Coastal Water District Management,Perception Analysis,345000,1/10/2025,20,Alex Rodriguez,arodriguez@company.com,Coastal Water District,Utilities,Sarah Brown,Operations Director,sbrown@coastalwater.gov,555-678-2345,6/20/2024,6/25/2024,Initial Assessment,Water utility management and monitoring system,New Business,RFP,OR,74721,Net 45
5714,OPP-2024-0097,Northern Community College IT Services,Value Proposition,195000,11/25/2024,45,Sarah Johnson,sjohnson@company.com,Northern Community College,Education,Michael Wilson,IT Director,mwilson@northerncc.edu,555-789-3456,6/20/2024,6/25/2024,Campus Evaluation,Managed IT services for multi-campus college,New Business,Education Conference,VT,73236,Net 60
5715,OPP-2024-0098,Riverside Auto Dealership System,Qualification,215000,11/15/2024,25,Michael Chang,mchang@company.com,Riverside Auto Group,Automotive,Jennifer Davis,General Manager,jdavis@riversideauto.com,555-890-4567,6/25/2024,6/28/2024,Initial Meeting,Dealership management system for automotive group,New Business,Cold Call,IL,10435,1% 15 Net 30
5716,OPP-2024-0099,Westview Healthcare Network Security,Closed Won,235000,9/20/2024,100,Emma Wilson,ewilson@company.com,Westview Healthcare System,Healthcare,Robert Martinez,CISO,rmartinez@westviewhealth.org,555-901-5678,8/15/2024,9/20/2024,Implementation,Network security upgrade for healthcare system,Upgrade,Healthcare Conference,TN,42835,Net 60
5717,OPP-2024-0100,Eastern Manufacturing ERP System,Needs Analysis,375000,11/30/2024,30,David Martinez,dmartinez@company.com,Eastern Manufacturing Inc.,Manufacturing,Sarah Lee,Operations Director,slee@easternmfg.com,555-012-6789,6/25/2024,6/30/2024,Requirements Gathering,Enterprise resource planning system with supply chain integration,New Business,Industry EventOPP-2024-0081,SC,79305,2% 10 Net 30
